-0.3451,1.6486,-3.1545,1
-3.8356,-1.132,0.0369,0
-1.7864,-0.4417,-1.1862,0
-0.8025,-1.6935,0.244,0
1.1628,2.8659,-0.6564,1
-0.636,0.0955,-0.2949,0
-0.104,-3.1244,0.3718,0
-1.8304,-1.9139,-1.5881,0
2.322,-0.2812,1.1495,1
0.5446,-3.4067,-1.0837,0
1.5159,-1.5314,-1.0903,0
-0.3588,-0.3539,-1.0119,0
-0.6523,-0.957,-2.59,0
1.0053,-1.6227,1.3044,0
-2.3002,-3.1592,1.1876,0
-3.1701,-1.2723,0.5973,0
-0.6593,-3.3109,0.188,0
-0.3886,2.5677,0.5886,1
6.0714,-3.2918,-0.0217,1
-2.1333,2.3095,0.8218,1
1.5081,-1.5547,-0.7452,0
-4.0594,3.419,0.5082,0
-0.5217,1.867,0.7509,1
1.9505,-3.2471,-0.7138,0
0.3909,0.7108,0.9572,1
-2.0173,0.2544,2.2054,0
1.3838,1.7411,-0.0192,1
1.5353,3.608,0.1066,1
2.448,-1.7503,0.5901,1
1.8084,-1.504,1.0981,1
-1.3505,-1.6105,-0.0012,0
3.864,0.6183,0.9358,1
-1.4636,0.155,-1.1766,0
-1.1422,1.6713,-0.0384,1
2.9026,-0.4048,-0.1979,1
2.5534,-1.2972,-1.5198,1
2.6026,0.8284,-2.1652,1
0.0891,-0.8076,1.7448,0
-1.458,-1.1615,-0.9104,0
-2.1081,-1.401,-1.4359,0
-2.0624,-3.2132,-1.4973,0
-3.1194,-1.0423,-0.6837,0
-2.4529,0.9565,-0.0481,0
-0.864,-0.9279,1.5929,0
0.4796,0.9508,-2.586,1
-1.3075,-4.342,-0.4262,0
0.7466,-1.3486,0.5186,0
-2.0455,1.1516,-1.5536,0
-0.5234,0.8396,0.5359,1
-0.2545,3.8794,-0.4144,1
-0.902,-5.519,1.7689,0
-0.738,-2.352,1.3209,0
2.471,0.2167,-1.4349,1
0.838,-1.2428,-1.1708,0
2.0867,-4.2652,0.5672,0
0.9187,4.102,0.3252,1
-4.1169,-1.6722,0.0647,0
0.7111,1.9616,-1.9597,1
-0.6599,1.9397,1.544,1
3.722,-0.7804,1.0976,1
3.4234,2.3961,0.7237,1
1.6556,-1.5798,-1.4472,1
1.9657,-0.6941,-0.0281,1
-1.1574,-0.7858,0.2327,0
-2.0437,0.137,0.2461,0
-0.1547,-1.4873,0.7866,0
3.7453,-1.2025,1.2345,1
1.7785,-5.3065,-0.7612,0
-1.2717,1.5635,0.1885,1
0.9488,1.2726,-0.8989,1
-1.4931,-2.4458,-0.1703,0
-0.2382,0.3424,-0.7273,1
1.813,1.8342,1.5465,1
1.4226,0.371,0.6724,1
1.2195,-1.3036,1.2894,0
3.437,3.9539,0.0352,1
0.6485,0.8327,-0.0025,1
1.2386,-0.2424,-0.1938,1
3.518,0.3294,0.067,1
1.764,0.3007,0.2916,1
-0.1271,-2.4408,-0.031,0
-2.2738,0.4203,-1.1814,0
1.8334,1.4985,0.2804,1
-0.2003,0.8326,-1.965,1
-2.1936,-0.2975,0.3453,0
-0.1588,-2.0092,0.1334,0
-0.9074,-2.1372,0.3295,0
-0.42,2.393,0.6655,1
1.4693,0.6433,-0.8452,1
-1.8713,-2.9423,2.879,0
-2.1589,-0.4197,-0.3604,0
-0.5622,-1.1681,-1.8683,0
-1.9964,-2.7813,-0.1268,0
-1.3684,-1.3744,0.2159,0
-1.1656,1.8642,-0.3862,1
0.4503,-2.6506,0.6569,0
-0.8104,0.8175,0.33,1
-0.3469,0.4349,-0.3853,1
2.6922,1.8686,0.4825,1
-2.3603,-2.1986,-0.6639,0
-0.49,0.896,-0.8965,1
2.3541,0.0072,-2.0128,1
-0.9506,-5.1704,-0.7517,0
-1.0983,-1.2208,-0.3253,0
-0.7882,-1.1875,1.5025,0
2.4298,-2.2837,1.2539,1
-3.2427,-1.6292,1.5252,0
-4.4791,1.1496,-1.2535,0
-0.288,-0.3604,1.6972,0
-1.6212,-0.138,0.627,0
