-4.0988,-3.7032,-0.7783,0.429,0
-4.4673,-3.8709,0.5577,-0.3783,0
-2.8028,-3.8759,0.0141,0.278,0
-5.247,-3.4059,0.0308,0.5181,0
-4.2168,-4.3633,0.1848,-0.0297,0
-5.174,-4.194,0.6338,-0.0466,0
-4.8705,-3.2841,-0.9267,-1.0601,0
-4.0042,-3.8191,0.1102,-0.4464,0
-4.1505,-5.3987,0.1098,-0.8077,0
-4.1492,-3.7384,-0.8783,-0.2613,0
-3.2119,-2.451,-0.752,0.17,0
-5.2359,-5.3453,0.798,0.3341,0
-4.8042,-3.781,0.321,0.0906,0
-1.7527,-3.3942,-1.4965,-0.1451,0
-4.7366,-4.2041,0.0067,-0.3256,0
-5.0849,-2.6366,0.2987,-0.3354,0
-3.3204,-3.3248,0.6337,-0.5277,0
-3.2201,-4.6078,0.5775,-0.0962,0
-6.2718,-3.9646,-0.8921,-0.1086,0
-4.0582,-4.4013,-0.7435,-0.5579,0
-4.8446,-4.2481,0.6442,0.3545,0
-4.4722,-2.7261,-0.684,0.3425,0
-4.1752,-3.7637,0.3192,-0.3398,0
-3.1988,-4.0093,1.2059,-0.1521,0
-2.7308,-3.3529,-0.5871,0.6803,0
-5.0604,-6.232,0.4267,0.5345,0
-3.948,-4.261,0.7918,0.3559,0
-4.6559,-3.2685,-0.6216,-0.2795,0
-5.0511,-6.2,-0.5886,0.6112,0
-5.0978,-4.55,-0.5805,0.4328,0
-3.9988,-3.5093,-0.0528,-0.5855,0
-4.9739,-3.1627,-0.0287,0.3872,0
-7.1626,-2.8899,-0.247,1.0864,0
-4.5108,-3.9717,0.3302,-0.4379,0
-3.1273,-4.6452,0.6446,0.3966,0
-3.5044,-4.7242,-0.1053,0.15,0
-6.0333,-4.5517,0.469,-0.6341,0
-2.721,-4.6283,0.1616,-0.5738,0
-3.5156,-3.5373,0.5682,0.677,0
-2.7465,-3.7911,-0.6131,0.6619,0
-5.3041,-4.4387,0.3686,0.2218,0
-2.4069,-4.0041,-0.845,-0.1376,0
-3.8259,-4.3506,0.7062,-0.1238,0
-5.4358,-3.5332,-0.5738,0.8499,0
-3.7299,-5.4033,0.5397,1.1846,0
-6.0041,-3.0969,0.242,0.0878,0
-3.6567,-3.5081,-0.3465,0.7055,0
-5.3495,-2.0414,0.7638,-0.5931,0
-4.0054,-2.5801,-0.2455,-0.0812,0
-4.4024,-2.8325,-0.3038,-0.0049,0
-3.4598,-4.2076,-0.4332,-0.6708,0
-5.5183,-5.1798,-0.8603,-0.3634,0
-3.6998,-3.9459,-0.4133,-0.509,0
-4.9934,-5.3879,-0.6179,0.3572,0
-5.4046,-3.9827,-0.309,1.214,0
-5.7969,-3.8067,-0.1669,-0.3856,0
-3.6848,-3.8444,-0.5345,0.2131,0
-3.6108,-2.6905,-0.305,0.7352,0
-4.1968,-5.976,0.2615,-0.0408,0
-4.8824,-3.0668,-0.2358,0.5084,0
-4.0827,-3.2497,0.3397,0.2366,0
-5.032,-3.0803,0.0109,1.0011,0
-3.5213,-3.2489,-0.3824,-0.2031,0
